,OrgPos,Page,KeyFrom,NodeFrom,Edge,NodeTo,KeyTo
349,353.0,,1257,Wall of the Pharynx armed (for alternative see page 20),Wall of the Pharynx armed (for alternative see page 20),Armature of one or more teeth (odontia or onchia) (for alternative see page 8),561
350,354.0,,561,Armature spear-like or apparently so (for alternative see page 11),Armature spear-like or apparently so (for alternative see page 11),"Spear plain, i.e. not bulbed at base (for alternative see page 8)",459
351,355.0,,459,Spear bulbed; cephalic setae usually 0; amph. oft obscure; spinneret 0; not marine except Siphonolaimus (pg.10),Spear bulbed; cephalic setae usually 0; amph. oft obscure; spinneret 0; not marine except Siphonolaimus (pg.10),"Oesophagus with median or posterior bulb or swelling, or both",376
352,356.0,,376,"Oesophagus plain, i.e. without median or posterior bulb or swelling; cephalic setae 0","Oesophagus plain, i.e. without median or posterior bulb or swelling; cephalic setae 0",Female known; ovary 1,358
353,357.0,,358,"Female not known ;spear with retrorse points midway, base 3-lobed ;bursa lobed .. ","Female not known ;spear with retrorse points midway, base 3-lobed ;bursa lobed .. ",Ecphyadophora de Man 1921,Ecphyadophora de Man 1921
354,358.0,,358,Female known; ovary 1,Female known; ovary 1,Gonad Q outstretched; mostly parasitic,367
355,359.0,,367,Gonad Q reflexed,Gonad Q reflexed,"Habit parasitic in beetles, etc.; ovary anterior",361
356,360.0,,361,Habit free-living; spear (dorso-ventral view) arrow-headed; ovary posterior . . ,Habit free-living; spear (dorso-ventral view) arrow-headed; ovary posterior . . ,Pharetrolaimus de Man 1921,Pharetrolaimus de Man 1921
357,361.0,,361,"Habit parasitic in beetles, etc.; ovary anterior","Habit parasitic in beetles, etc.; ovary anterior",Nema not saccate; anus none or vestigial,363
358,362.0,,363,"Nema saccate; mouth none, organs degenerated; vulva terminal. ............","Nema saccate; mouth none, organs degenerated; vulva terminal. ............", (Allantonema Leuck. 1884) ( = Tylenchomorphus Fuchs 1914), (Allantonema Leuck. 1884) ( = Tylenchomorphus Fuchs 1914)
359,363.0,,363,Nema not saccate; anus none or vestigial,Nema not saccate; anus none or vestigial,"Spear present in young Q only; in cucumber beetle, Diabrotica ................ .",366
360,365.0,,366,"Spear none; parasitic in beetles, weevils, etc .................................. ","Spear none; parasitic in beetles, weevils, etc .................................. ",(Bradynema Strass. 1892),(Bradynema Strass. 1892)
361,366.0,,366,"Spear present in young Q only; in cucumber beetle, Diabrotica ................ . ","Spear present in young Q only; in cucumber beetle, Diabrotica ................ . ",Howardula Cobb 1921,Howardula Cobb 1921
362,367.0,,367,Gonad Q outstretched; mostly parasitic,Gonad Q outstretched; mostly parasitic,"Anus present; spear present, in Aphelenchulus reduced; traces median bulb sometimes present",369
363,368.0,,369,"Anus none or vestigial; spear ±vestigial; in cucumber beetle, Diabrotica ....... ","Anus none or vestigial; spear ±vestigial; in cucumber beetle, Diabrotica ....... ",(Howardula Cobb 1921),(Howardula Cobb 1921)
364,369.0,,369,"Anus present; spear present, in Aphelenchulus reduced; traces median bulb sometimes present","Anus present; spear present, in Aphelenchulus reduced; traces median bulb sometimes present",Junction oesophagus and intestine indefinite,373
365,370.0,,373,"Junction oesoph. & intest. definite; anterior oes. fusiform, isthmus at nerve ring; in or about plants","Junction oesoph. & intest. definite; anterior oes. fusiform, isthmus at nerve ring; in or about plants","Habitat bladders of Fucus, or among marine algae; head of 6 sectors; tail hooked ..",372
366,371.0,,372,Habitat crop plants; head of 8 sectors; terminus of tail straight ............. . ,Habitat crop plants; head of 8 sectors; terminus of tail straight ............. . ,Neotylenchus Steiner 1931,Neotylenchus Steiner 1931
367,372.0,,372,"Habitat bladders of Fucus, or among marine algae; head of 6 sectors; tail hooked .. ","Habitat bladders of Fucus, or among marine algae; head of 6 sectors; tail hooked .. ",Halenchus Cobb 1933,Halenchus Cobb 1933
368,373.0,,373,Junction oesophagus and intestine indefinite,Junction oesophagus and intestine indefinite,Spear with tripartite base; renette ±body length; parasitic in insects ........,375
369,374.0,,375,Spear with 6 basal lobes; oesoph. isthmus at nerve ring; in decaying vegetation .. ,Spear with 6 basal lobes; oesoph. isthmus at nerve ring; in decaying vegetation .. ,Hexatylus Goodey 1926,Hexatylus Goodey 1926
370,375.0,,375,Spear with tripartite base; renette ±body length; parasitic in insects ........,Spear with tripartite base; renette ±body length; parasitic in insects ........, Aphelenchulus Cobb 1920, Aphelenchulus Cobb 1920
371,376.0,,376,"Oesophagus with median or posterior bulb or swelling, or both","Oesophagus with median or posterior bulb or swelling, or both",Female known,384
372,377.0,,384,Female not known; spear tripartite at base,Female not known; spear tripartite at base,Cephalic setae 0 or papilloid,379
373,378.0,,379,"Cephalic setae 4, ±1 head-width long; oesoph. swellings med. & card.; bursa striate .. ","Cephalic setae 4, ±1 head-width long; oesoph. swellings med. & card.; bursa striate .. ",Eutylenchus Cobb 1913,Eutylenchus Cobb 1913
374,379.0,,379,Cephalic setae 0 or papilloid,Cephalic setae 0 or papilloid,Spear without retrorse points midway; oesophagus without median bulb,381
375,380.0,,381,"Spear with retrorse points midway, 3-lobed at base; bursa small, lobed .... . ","Spear with retrorse points midway, 3-lobed at base; bursa small, lobed .... . ",Ecphyadophora de Man 1921,Ecphyadophora de Man 1921
376,381.0,,381,Spear without retrorse points midway; oesophagus without median bulb,Spear without retrorse points midway; oesophagus without median bulb,"Pharyngeal bulb pres.;ceph.set.6,papilloid;nema 9% wide;tail short,rounded . .",383
377,382.0,,383,"Pharyngeal bulb 0,cardiac l neck length;ceph.set.0;nema 5% wide;bursa 0 .. ","Pharyngeal bulb 0,cardiac l neck length;ceph.set.0;nema 5% wide;bursa 0 .. ",Tylencholaimellus Cobb 1915,Tylencholaimellus Cobb 1915
378,383.0,,383,"Pharyngeal bulb pres.;ceph.set.6,papilloid;nema 9% wide;tail short,rounded . . ","Pharyngeal bulb pres.;ceph.set.6,papilloid;nema 9% wide;tail short,rounded . . ",Brachynemella Cobb 1933 (=Brachynema Cobb 1893),Brachynemella Cobb 1933 (=Brachynema Cobb 1893)
379,384.0,,384,Female known,Female known,Ovary 1 (for alternative see preceding page),416
380,385.0,,416,Ovaries 2; cephalic setae 0; spear with tripartite base (for alternative see next page),Ovaries 2; cephalic setae 0; spear with tripartite base (for alternative see next page),Gonads 9 reflexed (for alternative see preceding page),397
381,386.0,,397,Gonads Q outstretched (for alternative see next page),Gonads Q outstretched (for alternative see next page),Median oesophageal bulb present; spear 3-lobed at base,388
382,387.0,,388,Median oesophageal bulb absent; spear 3-pronged at base; in sandy soil. ..,Median oesophageal bulb absent; spear 3-pronged at base; in sandy soil. .., (Tylolaimophorus de Man 1880), (Tylolaimophorus de Man 1880)
383,388.0,,388,Median oesophageal bulb present; spear 3-lobed at base,Median oesophageal bulb present; spear 3-lobed at base,"Junction oesoph. & intestine definite, exc. sometimes Tylenchus",390
384,389.0,,390,"Junction oesoph.& intestine indefinite;annules plain;tail rounded,with bursa .. ","Junction oesoph.& intestine indefinite;annules plain;tail rounded,with bursa .. ",Hoplolaimus Daday 1905,Hoplolaimus Daday 1905
385,390.0,,390,"Junction oesoph. & intestine definite, exc. sometimes Tylenchus","Junction oesoph. & intestine definite, exc. sometimes Tylenchus","Spear-guide smaller, slighter, not forming cuirasse; bursa present",392
386,391.0,,392,"Spear-guide wide as head, forming cuirasse or helmet; bursa none; testes 2 . . ","Spear-guide wide as head, forming cuirasse or helmet; bursa none; testes 2 . . ",Nemonchus Cobb 1913,Nemonchus Cobb 1913
387,392.0,,392,"Spear-guide smaller, slighter, not forming cuirasse; bursa present","Spear-guide smaller, slighter, not forming cuirasse; bursa present",Nema cephalated by contraction or not at all; bursa not lobate,394
388,393.0,,394,"Nema cephalated by constriction, head ±discoid; spear long; bursalobate .. .. ","Nema cephalated by constriction, head ±discoid; spear long; bursalobate .. .. ",Dolichodorus Cobb 1914,Dolichodorus Cobb 1914
389,394.0,,394,Nema cephalated by contraction or not at all; bursa not lobate,Nema cephalated by contraction or not at all; bursa not lobate,"Anterior end never narrowed & beak-like, without cuticular framework .......",396
390,395.0,,396,"Anterior end extensible,narrow & beak-like,inner framework cuticular .. ","Anterior end extensible,narrow & beak-like,inner framework cuticular .. ",Tylenchorhynchus Cobb 1913,Tylenchorhynchus Cobb 1913
391,396.0,,396,"Anterior end never narrowed & beak-like, without cuticular framework ....... ","Anterior end never narrowed & beak-like, without cuticular framework ....... ",Tylenchus Bast. 1865,Tylenchus Bast. 1865
392,397.0,,397,Gonads 9 reflexed (for alternative see preceding page),Gonads 9 reflexed (for alternative see preceding page),Structure of pharynx obvious,401
393,398.0,,401,Structure of pharynx obscure; oesophagus with cardiac swelling only,Structure of pharynx obscure; oesophagus with cardiac swelling only,"Spear rods 2-3, base heavy, irreg.; setae O or papill.; ovary obscure ...",400
394,399.0,,400,"Spear 3 rods, ant. hinged to 2 U-shaped pieces, post. 2 stalked swellings .. ","Spear 3 rods, ant. hinged to 2 U-shaped pieces, post. 2 stalked swellings .. ",(Tylopharynz de Man 1876),(Tylopharynz de Man 1876)
395,400.0,,400,"Spear rods 2-3, base heavy, irreg.; setae O or papill.; ovary obscure ... ","Spear rods 2-3, base heavy, irreg.; setae O or papill.; ovary obscure ... ",Diphtherophora de Man 1880 (=Chaolaimus Cobb 1893 =Archionchus Cobb 1913),Diphtherophora de Man 1880 (=Chaolaimus Cobb 1893 =Archionchus Cobb 1913)
396,401.0,,401,Structure of pharynx obvious,Structure of pharynx obvious,"Oesophagus with median bulb, often with cardiac swelling also",409
397,402.0,,409,"Oesophagus without median bulb, cardiac bulb present","Oesophagus without median bulb, cardiac bulb present",Cardiac swelling pyriform to clavate,406
398,403.0,,406,Cardiac swelling cylindroid (i.e. oesophagus dorylaimoid),Cardiac swelling cylindroid (i.e. oesophagus dorylaimoid),"Oral spear smaller, under 5%, base trifurcate ..........................",405
399,404.0,,405,"Oral spear large, over 5%, base 3-bulbed but not trifurcate ................... . ","Oral spear large, over 5%, base 3-bulbed but not trifurcate ................... . ",Xiphinema Cobb 1913,Xiphinema Cobb 1913
400,405.0,,405,"Oral spear smaller, under 5%, base trifurcate ..........................","Oral spear smaller, under 5%, base trifurcate ..........................", (Tylencholaimus de Man 1876), (Tylencholaimus de Man 1876)
401,406.0,,406,Cardiac swelling pyriform to clavate,Cardiac swelling pyriform to clavate,"Spear 3-pronged; amph. ¼ head-width, transverse-oval; labial papillae 6",408
402,407.0,,408,"Spear 3-bulbed at base, ±stout; amphid protrusile, tube cuticularized ..... ","Spear 3-bulbed at base, ±stout; amphid protrusile, tube cuticularized ..... ",Triplonchium Cobb 1920,Triplonchium Cobb 1920
403,408.0,,408,"Spear 3-pronged; amph. ¼ head-width, transverse-oval; labial papillae 6 ","Spear 3-pronged; amph. ¼ head-width, transverse-oval; labial papillae 6 ",Tylolaimophorus de Man 1880,Tylolaimophorus de Man 1880
404,409.0,,409,"Oesophagus with median bulb, often with cardiac swelling also","Oesophagus with median bulb, often with cardiac swelling also",Body ±serpentine,411
405,410.0,,411,"Body ±thick, not serpentine; 9 and larval forms ........................... .","Body ±thick, not serpentine; 9 and larval forms ........................... .", Heterodera Schmidt 1871 (=Meloidogyne Goldi 1887 =Caconema Cobb 1924), Heterodera Schmidt 1871 (=Meloidogyne Goldi 1887 =Caconema Cobb 1924)
406,411.0,,411,Body ±serpentine,Body ±serpentine,Junction oesoph. & intestine definite; bursa none; <i' and larval forms,413
407,412.0,,413,Junction oesoph.& intestine indef. ;annules plain ;tail rounded.with bursa ..,Junction oesoph.& intestine indef. ;annules plain ;tail rounded.with bursa .., (Hoplolaimus Daday 1905), (Hoplolaimus Daday 1905)
408,413.0,,413,Junction oesoph. & intestine definite; bursa none; <i' and larval forms,Junction oesoph. & intestine definite; bursa none; <i' and larval forms,Spear tylenchoid ...........................................................,415
409,414.0,,415,Spear really the apophyses of 3 movable onchia at base anterior pharynx .... ,Spear really the apophyses of 3 movable onchia at base anterior pharynx .... ,Tylenchodon Fuchs 1930,Tylenchodon Fuchs 1930
410,415.0,,415,Spear tylenchoid ........................................................... ,Spear tylenchoid ........................................................... ,Heterodera Schmidt 1871 ( =Meloidogyne Goldi 1887 =Caconema Cobb 1924),Heterodera Schmidt 1871 ( =Meloidogyne Goldi 1887 =Caconema Cobb 1924)
411,416.0,,416,Ovary 1 (for alternative see preceding page),Ovary 1 (for alternative see preceding page),Gonad 9 outstretched,440
412,417.0,,440,Gonad 9 reflexed; setae 0,Gonad 9 reflexed; setae 0,Spear furcate at base only; bulbs usually 3,421
413,420.0,,421,"Spear trifurcate half its length, base swollen; oesoph. with cardiac bulb only .. ","Spear trifurcate half its length, base swollen; oesoph. with cardiac bulb only .. ",Doryllium Cobb 1920,Doryllium Cobb 1920
414,421.0,,421,Spear furcate at base only; bulbs usually 3,Spear furcate at base only; bulbs usually 3,Oral spear well developed,429
415,422.0,,429,"Body thick, inert; parasitic 9 forms","Body thick, inert; parasitic 9 forms",Nema sausage-shaped; organs degeneratedexc.gonads; vulva term.; in insects,424
416,423.0,,424,"Nema body swollen, head and neck narrow; vulva 90%; in citrus roots ........ ","Nema body swollen, head and neck narrow; vulva 90%; in citrus roots ........ ",Tylenchulus Cobb 1913,Tylenchulus Cobb 1913
417,424.0,,424,Nema sausage-shaped; organs degeneratedexc.gonads; vulva term.; in insects ,Nema sausage-shaped; organs degeneratedexc.gonads; vulva term.; in insects ,Allantonema Leuck. 1884 ( = TylenchomorphU8 Fuchs 1914),Allantonema Leuck. 1884 ( = TylenchomorphU8 Fuchs 1914)
418,425.0,,429,Body ±slender or serpentine,Body ±slender or serpentine,Oral spear well developed,429
419,426.0,,429,Oral spear ±vestigial; median bulb ±reduced; <i' and larval forms,Oral spear ±vestigial; median bulb ±reduced; <i' and larval forms,Habitat in and around wood-boring beetles .................................,428
420,427.0,,428,Habitat in citrus roots and soil. .............................................. ,Habitat in citrus roots and soil. .............................................. ,Tylenchulus Cobb 1913,Tylenchulus Cobb 1913
421,428.0,,428,Habitat in and around wood-boring beetles ................................. ,Habitat in and around wood-boring beetles ................................. ,Allantonema Leuck. 1884 ( = Tylenchomorphus Fuchs 1914),Allantonema Leuck. 1884 ( = Tylenchomorphus Fuchs 1914)
422,429.0,,429,Oral spear well developed,Oral spear well developed,Median oesophageal bulb absent,433
423,430.0,,433,"Median oesophageal. bulb elongate; vulva over 70%, ovary anterior; bursa none","Median oesophageal. bulb elongate; vulva over 70%, ovary anterior; bursa none","Spear 8-23%;annules under 150,retrorse;median bulb oft valvate;vulva 70-95% . .",432
424,431.0,,432,Spear 3-4%; annules O; median bulb ±reduced; anus not functional. ....... . ,Spear 3-4%; annules O; median bulb ±reduced; anus not functional. ....... . ,Tylenchulus Cobb 1913,Tylenchulus Cobb 1913
425,432.0,,432,"Spear 8-23%;annules under 150,retrorse;median bulb oft valvate;vulva 70-95% . .","Spear 8-23%;annules under 150,retrorse;median bulb oft valvate;vulva 70-95% . .", Ogma Southern 1914 (=Iota Cobb 1913), Ogma Southern 1914 (=Iota Cobb 1913)
426,433.0,,433,Median oesophageal bulb absent,Median oesophageal bulb absent,"Spear of usual structure, shaft distinct, base tripartite",436
427,434.0,,436,"Spear rods 2-3, base heavy, irreg.; setae O or papilloid; vulva 50% ... ","Spear rods 2-3, base heavy, irreg.; setae O or papilloid; vulva 50% ... ",Diphtherophora de Man 1880 (=Chaolaimus Cobb 1893 = Archionchus Cobb 1913),Diphtherophora de Man 1880 (=Chaolaimus Cobb 1893 = Archionchus Cobb 1913)
428,436.0,,436,"Spear of usual structure, shaft distinct, base tripartite","Spear of usual structure, shaft distinct, base tripartite","Tip of spear (dorso-ventral view) arrow-headed; vulva25%, ovary post.",439
429,438.0,,439,"Tip of spear tapering, posterior prongs little swollen; vulva 33-72% ... ","Tip of spear tapering, posterior prongs little swollen; vulva 33-72% ... ",Tylencholaimus de Man 1876,Tylencholaimus de Man 1876
430,439.0,,439,"Tip of spear (dorso-ventral view) arrow-headed; vulva25%, ovary post.","Tip of spear (dorso-ventral view) arrow-headed; vulva25%, ovary post.",Pharetrolaimus de Man 1921,Pharetrolaimus de Man 1921
431,440.0,,440,Gonad 9 outstretched,Gonad 9 outstretched,Habitat not marine; median oesophageal bulb present (Neotylenchus ?),442
432,441.0,,442,"Habitat marine;""spear"" an evertible pharyng.lining;amph.round;neck 4% ","Habitat marine;""spear"" an evertible pharyng.lining;amph.round;neck 4% ",Siphonolaimus de Man 1893,Siphonolaimus de Man 1893
433,442.0,,442,Habitat not marine; median oesophageal bulb present (Neotylenchus ?),Habitat not marine; median oesophageal bulb present (Neotylenchus ?),Cephalic setae 0,444
434,443.0,,444,"Cephalic setae 4, l½ head-widths long; longitudinal striae 10; in cranberry bog . . ","Cephalic setae 4, l½ head-widths long; longitudinal striae 10; in cranberry bog . . ",Atylenchus Cobb 1913,Atylenchus Cobb 1913
435,444.0,,444,Cephalic setae 0,Cephalic setae 0,Dorsal oes. gland emptying at base of spear; genera tylenchoid,446
436,445.0,,446,Dorsal oes.gland emptying at med.bulb;junct.oes.&intest.indef.;bursa O ,Dorsal oes.gland emptying at med.bulb;junct.oes.&intest.indef.;bursa O ,Aphelenchoides Fischer 1894 ( =Seinura Fuchs 1931 =Parasitaphelenchus Fuchs 1930 =Pathoaphelenchus (Cobb) Steiner 1931),Aphelenchoides Fischer 1894 ( =Seinura Fuchs 1931 =Parasitaphelenchus Fuchs 1930 =Pathoaphelenchus (Cobb) Steiner 1931)
437,446.0,,446,Dorsal oes. gland emptying at base of spear; genera tylenchoid,Dorsal oes. gland emptying at base of spear; genera tylenchoid,"Spear 8-24%; oesoph. lining flexible, looping; nema 5%+ wide; bursa 0; vulva 72-94%",452
438,447.0,,452,Spear under 5%; junction oesoph. & intest. usually definite; nema under 5% wide; bursa present,Spear under 5%; junction oesoph. & intest. usually definite; nema under 5% wide; bursa present,Anterior oesoph. fusiform to isthmus; median bulb not definite; in or about plants,449
439,448.0,,449,Anterior oesoph. with median bulb; head of 6 sectors; tail without mucron .... ,Anterior oesoph. with median bulb; head of 6 sectors; tail without mucron .... ,Tylenchus Bast 1865,Tylenchus Bast 1865
440,449.0,,449,Anterior oesoph. fusiform to isthmus; median bulb not definite; in or about plants,Anterior oesoph. fusiform to isthmus; median bulb not definite; in or about plants,"Habitat bladders of Fucus, & am' g marine algae; head of 6 sectors; tail hooked",451
441,450.0,,451,Habitat crop plants; head of 8 sectors; terminus of tail straight ......... .,Habitat crop plants; head of 8 sectors; terminus of tail straight ......... ., Neotylenchus Steiner 1931, Neotylenchus Steiner 1931
442,451.0,,451,"Habitat bladders of Fucus, & am' g marine algae; head of 6 sectors; tail hooked","Habitat bladders of Fucus, & am' g marine algae; head of 6 sectors; tail hooked", Halenchus Cobb 1933, Halenchus Cobb 1933
443,452.0,,452,"Spear 8-24%; oesoph. lining flexible, looping; nema 5%+ wide; bursa 0; vulva 72-94%","Spear 8-24%; oesoph. lining flexible, looping; nema 5%+ wide; bursa 0; vulva 72-94%","Base of spear anchor-shaped (fluked); annules under 150, retrorse; junct. oes. & intest. indef.",456
444,453.0,,456,"Base of spear bulbed, not fluked; annules over 100, not retrorse; junct. oes. & intest. definite","Base of spear bulbed, not fluked; annules over 100, not retrorse; junct. oes. & intest. definite","Oral area raised, surrounded by ""fossa""; annulation rather coarse ....... .",455
445,454.0,,455,Oral area not raised; annulation fine .................................... . ,Oral area not raised; annulation fine .................................... . ,Paratylenchus Micol. 1922,Paratylenchus Micol. 1922
446,455.0,,455,"Oral area raised, surrounded by ""fossa""; annulation rather coarse ....... . ","Oral area raised, surrounded by ""fossa""; annulation rather coarse ....... . ",Procriconema Micol. 1926,Procriconema Micol. 1926
447,456.0,,456,"Base of spear anchor-shaped (fluked); annules under 150, retrorse; junct. oes. & intest. indef.","Base of spear anchor-shaped (fluked); annules under 150, retrorse; junct. oes. & intest. indef.","Scales, prickles or fringes ornamenting the annules ........................... .",458
448,457.0,,458,"Scales, prickles and fringes absent from annule!' ............ ","Scales, prickles and fringes absent from annule!' ............ ",Criconema Hoffmanner & Menzel 1914,Criconema Hoffmanner & Menzel 1914
449,458.0,,458,"Scales, prickles or fringes ornamenting the annules ........................... . ","Scales, prickles or fringes ornamenting the annules ........................... . ",Ogma Southern 1914 (=Iota Cobb 1913),Ogma Southern 1914 (=Iota Cobb 1913)
450,459.0,,459,"Spear plain, i.e. not bulbed at base (for alternative see page 8)","Spear plain, i.e. not bulbed at base (for alternative see page 8)","Oesophagus with median or posterior bulb or swelling, or both",494
451,460.0,,494,"Oesophagus plain, i.e. without median or posterior bulb or swelling","Oesophagus plain, i.e. without median or posterior bulb or swelling",Amphid unknown or obscure,474
452,461.0,,474,Amphid known,Amphid known,"External amphid circular, elliptical or monospiral",463
453,462.0,,463,"External amph. reniform; dorsal onch. small, at spear base; ovary ant.; not marine ","External amph. reniform; dorsal onch. small, at spear base; ovary ant.; not marine ",Enoplocheilus Kreis 1932,Enoplocheilus Kreis 1932
454,463.0,,463,"External amphid circular, elliptical or monospiral","External amphid circular, elliptical or monospiral",Spinneret present; marine,467
455,464.0,,467,Spinneret absent; anus reduced; parasitic in beetles,Spinneret absent; anus reduced; parasitic in beetles,"Pharyng. bulb none; spear vestigial; in beetle, Passalus; '9 .. ..",466
456,465.0,,466,"Pharyng.bulb strong,head swollen; spear 1.5%; junct.oesoph.& intest. indef .;-9 ","Pharyng.bulb strong,head swollen; spear 1.5%; junct.oesoph.& intest. indef .;-9 ",(Rhabdonchus Cobb 1933),(Rhabdonchus Cobb 1933)
457,466.0,,466,"Pharyng. bulb none; spear vestigial; in beetle, Passalus; '9 .. .. ","Pharyng. bulb none; spear vestigial; in beetle, Passalus; '9 .. .. ",Chondronema Christie & Chitwood 1931 (= Uracanthus Dies. 1861),Chondronema Christie & Chitwood 1931 (= Uracanthus Dies. 1861)
458,467.0,,467,Spinneret present; marine,Spinneret present; marine,Annules none or fine; head not expanded; cephalic setae 4,469
459,468.0,,469,"Annules coarse exc. on head; onch. spear-like, axial; body set. in long. rows; - 9- ","Annules coarse exc. on head; onch. spear-like, axial; body set. in long. rows; - 9- ",Aculeonchus Kreis 1928,Aculeonchus Kreis 1928
460,469.0,,469,Annules none or fine; head not expanded; cephalic setae 4,Annules none or fine; head not expanded; cephalic setae 4,Striae 0; amph. monospire; spicula entire; junct. oes. & intest. obscured by glands; eyes present,471
461,470.0,,471,"Striae of dots, larger laterally; amph. multispire; spicula 2-jointed; -9-.. ","Striae of dots, larger laterally; amph. multispire; spicula 2-jointed; -9-.. ",Dorylaimopsis Ditlev .• 1918 ( = Xinema Cobb 1920),Dorylaimopsis Ditlev .• 1918 ( = Xinema Cobb 1920)
462,471.0,,471,Striae 0; amph. monospire; spicula entire; junct. oes. & intest. obscured by glands; eyes present,Striae 0; amph. monospire; spicula entire; junct. oes. & intest. obscured by glands; eyes present,"Spear more obvious, 1.5%; ''.l ' ................................................ ..",473
463,472.0,,473,"Spear 0.3%, a thickening of dorsal pharyngeal wall; ovaries 1 or 2, reflexed ..... ","Spear 0.3%, a thickening of dorsal pharyngeal wall; ovaries 1 or 2, reflexed ..... ",(Onchium Cobb 1920),(Onchium Cobb 1920)
464,473.0,,473,"Spear more obvious, 1.5%; ''.l ' ................................................ ..","Spear more obvious, 1.5%; ''.l ' ................................................ ..", Onchulella Cobb 1920, Onchulella Cobb 1920
465,474.0,,474,Amphid unknown or obscure,Amphid unknown or obscure,Female known,476
466,475.0,,476,Female not known; spear a small prod at lips; marine ............................ . ,Female not known; spear a small prod at lips; marine ............................ . ,Rhinonema Allgen 1927,Rhinonema Allgen 1927
467,476.0,,476,Female known,Female known,Spinneret absent; ovary l; not marine,480
468,477.0,,480,Spinneret present; ovaries 2; marine,Spinneret present; ovaries 2; marine,Calvarium none; head not suddenly narrowed; spear short; ovaries reflexed .....,479
469,478.0,,479,"Calvarium subcuticular; spear long, slender; set. on head long; nema 6 mm. ","Calvarium subcuticular; spear long, slender; set. on head long; nema 6 mm. ",Thoracostomopsis Ditlev. 1918,Thoracostomopsis Ditlev. 1918
470,479.0,,479,Calvarium none; head not suddenly narrowed; spear short; ovaries reflexed ..... ,Calvarium none; head not suddenly narrowed; spear short; ovaries reflexed ..... ,(Onchulella Cobb 1920),(Onchulella Cobb 1920)
471,480.0,,480,Spinneret absent; ovary l; not marine,Spinneret absent; ovary l; not marine,"The female ±elongate, usually not slender; vulva posterior, ovary anterior",482
472,481.0,,482,"The female saccate, sausage-shaped; vulva terminal, ovary reflexed; in beetles ","The female saccate, sausage-shaped; vulva terminal, ovary reflexed; in beetles ",Allantonema Leuck. 1884(=Tylenchomorphus Fuchs 1914),Allantonema Leuck. 1884(=Tylenchomorphus Fuchs 1914)
473,482.0,,482,"The female ±elongate, usually not slender; vulva posterior, ovary anterior","The female ±elongate, usually not slender; vulva posterior, ovary anterior",Ovary reflexed exc. Rhabdonchus; anus none or reduced; parasitic in insects,484
474,483.0,,484,"Ovary outstretched; anus present; spear a mere prod, reduced ind'; wings 0 .. . ","Ovary outstretched; anus present; spear a mere prod, reduced ind'; wings 0 .. . ",lotonchium Cobb 1920,lotonchium Cobb 1920
475,484.0,,484,Ovary reflexed exc. Rhabdonchus; anus none or reduced; parasitic in insects,Ovary reflexed exc. Rhabdonchus; anus none or reduced; parasitic in insects,"Spear vestigial, minute or none; pharyngeal bulb absent",486
476,485.0,,486,"Spear long, slender, in muscular bulb, head swollen; junct. oes. & intest. indef . . ","Spear long, slender, in muscular bulb, head swollen; junct. oes. & intest. indef . . ",Rhabdonchus Cobb 1933,Rhabdonchus Cobb 1933
477,486.0,,486,"Spear vestigial, minute or none; pharyngeal bulb absent","Spear vestigial, minute or none; pharyngeal bulb absent","Mouth and spear present in young 9 only; in beetles, frit fly, etc.",488
478,487.0,,488,"Mouth and spear absent; in beetles, weevils, etc ............................","Mouth and spear absent; in beetles, weevils, etc ............................", (Bradynema Strass. 1892), (Bradynema Strass. 1892)
479,488.0,,488,"Mouth and spear present in young 9 only; in beetles, frit fly, etc.","Mouth and spear present in young 9 only; in beetles, frit fly, etc.",Vulva remaining functional; adult 9 parasitic; gubernaculum small,490
480,489.0,,490,Vulva degenerating; 9 free-living;bursa pre-anal;in ,Vulva degenerating; 9 free-living;bursa pre-anal;in ,Passalus Chondronema Christie & Chitwood 1931 ( = Uracanthus Dies. 1861),Passalus Chondronema Christie & Chitwood 1931 ( = Uracanthus Dies. 1861)
481,490.0,,490,Vulva remaining functional; adult 9 parasitic; gubernaculum small,Vulva remaining functional; adult 9 parasitic; gubernaculum small,"Anus persisting; in frit-fly, Oscinella ..................................",493
482,492.0,,493,"Anus none or vestigial; in cucumber beetle, Diabrotica ..................... . ","Anus none or vestigial; in cucumber beetle, Diabrotica ..................... . ",Howardula Cobb 1921,Howardula Cobb 1921
483,493.0,,493,"Anus persisting; in frit-fly, Oscinella ..................................","Anus persisting; in frit-fly, Oscinella ..................................", (Tylenchinema Goodey 1930), (Tylenchinema Goodey 1930)
484,494.0,,494,"Oesophagus with median or posterior bulb or swelling, or both","Oesophagus with median or posterior bulb or swelling, or both",Ampbid known,509
485,495.0,,509,Amphid not known or obscure,Amphid not known or obscure,Spinneret absent; cephalic setae 0,497
486,496.0,,497,Spinneret present; cardiac swelling slight; spear a small prod at lips; J ..........,Spinneret present; cardiac swelling slight; spear a small prod at lips; J .........., (Rhinonema Allgen 1927), (Rhinonema Allgen 1927)
487,497.0,,497,Spinneret absent; cephalic setae 0,Spinneret absent; cephalic setae 0,Nema free-living,499
488,498.0,,499,"Nema parasitic, saccate female; vulva terminal; in beetles, etc.; '9 ........... ","Nema parasitic, saccate female; vulva terminal; in beetles, etc.; '9 ........... ",(Allantonema Leuck. 1884) ( = Tylenchomorphus Fuchs 1914),(Allantonema Leuck. 1884) ( = Tylenchomorphus Fuchs 1914)
